platform,trend_category,0
Instagram,AI tools & productivity,812
Instagram,Climate activism,832
Instagram,Comedy & meme culture,841
Instagram,Crypto & side hustles,836
Instagram,Digital activism & political,829
Instagram,Food & recipe trends,823
Instagram,Football & sports culture,848
Instagram,Gaming & esports,832
Instagram,Mental health awareness,849
Instagram,Modest fashion & heritage,829
Instagram,Privacy & data rights,838
Instagram,Skincare & self-care,811
Instagram,Streetwear & sneakers,834
Instagram,Study/productivity aesthetic,844
Instagram,Sustainable fashion,838
TikTok,AI tools & productivity,809
TikTok,Climate activism,820
TikTok,Comedy & meme culture,808
TikTok,Crypto & side hustles,846
TikTok,Digital activism & political,840
TikTok,Food & recipe trends,835
TikTok,Football & sports culture,804
TikTok,Gaming & esports,819
TikTok,Mental health awareness,834
TikTok,Modest fashion & heritage,847
TikTok,Privacy & data rights,821
TikTok,Skincare & self-care,827
TikTok,Streetwear & sneakers,837
TikTok,Study/productivity aesthetic,829
TikTok,Sustainable fashion,836
YouTube,AI tools & productivity,811
YouTube,Climate activism,805
YouTube,Comedy & meme culture,842
YouTube,Crypto & side hustles,833
YouTube,Digital activism & political,840
YouTube,Food & recipe trends,836
YouTube,Football & sports culture,814
YouTube,Gaming & esports,827
YouTube,Mental health awareness,838
YouTube,Modest fashion & heritage,842
YouTube,Privacy & data rights,853
YouTube,Skincare & self-care,820
YouTube,Streetwear & sneakers,824
YouTube,Study/productivity aesthetic,826
YouTube,Sustainable fashion,800
